year,subcategory_code,sub_subcategory_code,month,category_subcategory,category_sub_subcategory,total_visitors,foreign_visitors
2021,2,8,December,History/Culture,"Memorial house/Historical archive",22646,0
2021,2,8,November,History/Culture,"Memorial house/Historical archive",26109,0
2021,2,8,October,History/Culture,"Memorial house/Historical archive",23657,0
2021,2,8,September,History/Culture,"Memorial house/Historical archive",21003,0
2021,2,8,August,History/Culture,"Memorial house/Historical archive",20219,0
2021,2,8,July,History/Culture,"Memorial house/Historical archive",19100,0
2021,2,8,June,History/Culture,"Memorial house/Historical archive",21317,0
2021,2,8,May,History/Culture,"Memorial house/Historical archive",17318,0
2021,2,8,April,History/Culture,"Memorial house/Historical archive",17812,0
2021,2,8,March,History/Culture,"Memorial house/Historical archive",19609,0
2021,2,8,February,History/Culture,"Memorial house/Historical archive",16426,0
2021,2,8,January,History/Culture,"Memorial house/Historical archive",15519,0
2021,2,8,December,History/Culture,"Memorial house/Historical archive",10763,0
2021,2,8,November,History/Culture,"Memorial house/Historical archive",11051,0
2021,2,8,October,History/Culture,"Memorial house/Historical archive",11177,0
2021,2,8,September,History/Culture,"Memorial house/Historical archive",10500,0
2021,2,8,August,History/Culture,"Memorial house/Historical archive",10043,0
2021,2,8,July,History/Culture,"Memorial house/Historical archive",9426,0
2021,2,8,June,History/Culture,"Memorial house/Historical archive",16923,0
2021,2,8,May,History/Culture,"Memorial house/Historical archive",16923,0
2021,2,8,April,History/Culture,"Memorial house/Historical archive",16923,0
2021,2,8,March,History/Culture,"Memorial house/Historical archive",10226,0
2021,2,8,February,History/Culture,"Memorial house/Historical archive",9163,0
2021,2,8,January,History/Culture,"Memorial house/Historical archive",9048,0
2021,2,6,December,History/Culture,Museum,2190,0
2021,2,6,November,History/Culture,Museum,2775,0
2021,2,6,October,History/Culture,Museum,2780,0
2021,2,6,September,History/Culture,Museum,1822,0
2021,2,6,August,History/Culture,Museum,1143,0
2021,2,6,July,History/Culture,Museum,1250,0
2021,2,6,June,History/Culture,Museum,1059,0
2021,2,6,May,History/Culture,Museum,594,0
2021,2,6,April,History/Culture,Museum,1935,0
2021,2,6,March,History/Culture,Museum,1081,0
2021,2,6,February,History/Culture,Museum,516,0
2021,2,6,January,History/Culture,Museum,676,0
2021,2,8,December,History/Culture,"Memorial house/Historical archive",3108,11
2021,2,8,November,History/Culture,"Memorial house/Historical archive",1704,9
2021,2,8,October,History/Culture,"Memorial house/Historical archive",2019,12
2021,2,8,September,History/Culture,"Memorial house/Historical archive",619,8
2021,2,8,August,History/Culture,"Memorial house/Historical archive",287,10
2021,2,8,July,History/Culture,"Memorial house/Historical archive",1828,3
2021,2,8,June,History/Culture,"Memorial house/Historical archive",1799,5
2021,2,8,May,History/Culture,"Memorial house/Historical archive",0,0
2021,2,8,April,History/Culture,"Memorial house/Historical archive",1044,13
2021,2,8,March,History/Culture,"Memorial house/Historical archive",1789,28
2021,2,8,February,History/Culture,"Memorial house/Historical archive",787,14
2021,2,8,January,History/Culture,"Memorial house/Historical archive",324,5
2021,2,6,December,History/Culture,Museum,25728,25
2021,2,6,November,History/Culture,Museum,28056,70
2021,2,6,October,History/Culture,Museum,16433,62
2021,2,6,September,History/Culture,Museum,8661,15
2021,2,6,August,History/Culture,Museum,12450,29
2021,2,6,July,History/Culture,Museum,15446,38
2021,2,6,June,History/Culture,Museum,9744,35
2021,2,6,May,History/Culture,Museum,0,0
2021,2,6,April,History/Culture,Museum,8126,28
2021,2,6,March,History/Culture,Museum,11631,28
2021,2,6,February,History/Culture,Museum,7594,46
2021,2,6,January,History/Culture,Museum,3906,9
2021,2,6,December,History/Culture,Museum,6609,90
2021,2,6,November,History/Culture,Museum,14669,304
2021,2,6,October,History/Culture,Museum,6762,172
2021,2,6,September,History/Culture,Museum,452,24
2021,2,6,August,History/Culture,Museum,2568,310
2021,2,6,July,History/Culture,Museum,2792,201
2021,2,6,June,History/Culture,Museum,4313,110
2021,2,6,May,History/Culture,Museum,0,0
2021,2,6,April,History/Culture,Museum,0,0
2021,2,6,March,History/Culture,Museum,0,0
2021,2,6,February,History/Culture,Museum,0,0
2021,2,6,January,History/Culture,Museum,0,0
2021,2,6,December,History/Culture,Museum,4513,0
2021,2,6,November,History/Culture,Museum,4913,0
2021,2,6,October,History/Culture,Museum,3287,0
2021,2,6,September,History/Culture,Museum,2806,2
2021,2,6,August,History/Culture,Museum,5452,2
2021,2,6,July,History/Culture,Museum,4415,2
2021,2,6,June,History/Culture,Museum,2782,0
2021,2,6,May,History/Culture,Museum,0,0
2021,2,6,April,History/Culture,Museum,2080,0
2021,2,6,March,History/Culture,Museum,3058,0
2021,2,6,February,History/Culture,Museum,2722,0
2021,2,6,January,History/Culture,Museum,2422,0
2021,2,8,December,History/Culture,"Memorial house/Historical archive",758,4
2021,2,8,November,History/Culture,"Memorial house/Historical archive",2086,7
2021,2,8,October,History/Culture,"Memorial house/Historical archive",1388,8
2021,2,8,September,History/Culture,"Memorial house/Historical archive",691,12
2021,2,8,August,History/Culture,"Memorial house/Historical archive",788,5
2021,2,8,July,History/Culture,"Memorial house/Historical archive",933,5
2021,2,8,June,History/Culture,"Memorial house/Historical archive",487,5
2021,2,8,May,History/Culture,"Memorial house/Historical archive",0,0
2021,2,8,April,History/Culture,"Memorial house/Historical archive",1549,8
2021,2,8,March,History/Culture,"Memorial house/Historical archive",1302,6
2021,2,8,February,History/Culture,"Memorial house/Historical archive",1396,0
2021,2,8,January,History/Culture,"Memorial house/Historical archive",0,0
2021,2,8,December,History/Culture,"Memorial house/Historical archive",8631,10
2021,2,8,November,History/Culture,"Memorial house/Historical archive",10865,17
2021,2,8,October,History/Culture,"Memorial house/Historical archive",11392,6
2021,2,8,September,History/Culture,"Memorial house/Historical archive",6145,23
2021,2,8,August,History/Culture,"Memorial house/Historical archive",7403,23
2021,2,8,July,History/Culture,"Memorial house/Historical archive",6359,13
2021,2,8,June,History/Culture,"Memorial house/Historical archive",3804,10
2021,2,8,May,History/Culture,"Memorial house/Historical archive",0,0
2021,2,8,April,History/Culture,"Memorial house/Historical archive",7251,10
2021,2,8,March,History/Culture,"Memorial house/Historical archive",10323,25
2021,2,8,February,History/Culture,"Memorial house/Historical archive",3304,21
2021,2,8,January,History/Culture,"Memorial house/Historical archive",1739,13
2021,2,6,December,History/Culture,Museum,2873,0
2021,2,6,November,History/Culture,Museum,2834,0
2021,2,6,October,History/Culture,Museum,3505,0
2021,2,6,September,History/Culture,Museum,2607,0
2021,2,6,August,History/Culture,Museum,2659,0
2021,2,6,July,History/Culture,Museum,2925,0
2021,2,6,June,History/Culture,Museum,3812,0
2021,2,6,May,History/Culture,Museum,0,0
2021,2,6,April,History/Culture,Museum,2973,0
2021,2,6,March,History/Culture,Museum,2923,0
2021,2,6,February,History/Culture,Museum,2496,0
2021,2,6,January,History/Culture,Museum,2545,0
2021,2,7,December,History/Culture,"Art museum",40108,168
2021,2,7,November,History/Culture,"Art museum",40507,158
2021,2,7,October,History/Culture,"Art museum",10143,114
2021,2,7,September,History/Culture,"Art museum",36925,317
2021,2,7,August,History/Culture,"Art museum",29162,346
2021,2,7,July,History/Culture,"Art museum",29800,426
2021,2,7,June,History/Culture,"Art museum",13727,208
2021,2,7,May,History/Culture,"Art museum",0,0
2021,2,7,April,History/Culture,"Art museum",50230,268
2021,2,7,March,History/Culture,"Art museum",23497,132
2021,2,7,February,History/Culture,"Art museum",22533,286
2021,2,7,January,History/Culture,"Art museum",10570,280
2021,2,7,December,History/Culture,"Art museum",0,0
2021,2,7,November,History/Culture,"Art museum",0,0
2021,2,7,October,History/Culture,"Art museum",0,0
2021,2,7,September,History/Culture,"Art museum",0,0
